title,category,price,image,quick_desc,long_desc,additional_info
Drone Heli Pad,DJI Spark Deals,R 195,"https://www.droneworld.co.za/wp-content/uploads/2016/11/Heli-Pad-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/12/Universal-Reversible-Landing-Pad-Helipad-For-DJI-Phantom-600x600.jpg","Land your drone safely on sand, dirt or rough ground with this foldable helipad.","Product Description Helicopter Landing Pad for Drones Brand new Drone Heli Pad Protects the Camera and Gimbal Springs Automatically into Shape 1-Year Warranty Prevents Dust and Debris Being Kicked Up High-Visibility Yellow Collapses to 300mm to Fit Included Case High quality nylon with night luminous material, perfect fit any outdoor landing situations. Description: Material: Waterproof Nylon Item Type: Drone Landing Pad. Color: Yellow&White Net Weight: 246g Diameter 300mm Folded Deployed dimension: 800mm High quality nylon material, with the night luminous colored design, compatible with all the different situations. Package includes: 1 x Portable Bag 1 x Fast-Fold Landing Pad",
Parrot Disco-Pro AG,Parrot Products,R 74995,"https://www.droneworld.co.za/wp-content/uploads/2017/09/Disco-Pro-AG-1.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Disco-Pro-AG-2-600x374.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Disco-Pro-AG-6-600x374.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Disco-Pro-AG-5-600x374.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Disco-Pro-AG-4-600x374.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Disco-Pro-AG-3-600x374.png",The All-In-One Drone Solution for Precision Agriculture The Parrot Disco-Pro AG is the perfect tool for farmers to Survey their crops with an NDVI camera which comes along with software capable of assessing fields and showing hotspots as well as suggesting further action to the farmer. Parrot Disco-Pro AG is the all-in-one multi-purpose drone solution for farmers that fits in their everyday tool box to help them improve the ROI of their crops. This end to end solution allows farmers and small agriculture cooperative to have easily and quickly insights on the health of their crops thanks to visual crop scouting and NDVI maps. Parrot Disco-Pro AG is the easy to use and reliable solution that allows you to quickly identify crop health and problem areas.,"Product Description TECHNICAL SPECIFICATIONS PARROT DISCO-PRO OPERATION OVERVIEW : Area Coverage: 80ha (200ac) in a single flight at 120m flight altitude (400ft) Range: Up to 2km with Parrot Skycontroller 2, in an unobstructed area free of interferences Ground resolution: 14.8cm/px (5.5in/px) at 120m (400ft) flight altitude Automatic flight plan powered by Pix4Dcapture mobile app Hand launch for take-off Automatic landing GENERAL : Weight: 780gr | 28oz without Parrot Sequoia Take Off Weight: 940g / 33oz with Parrot Sequoia & mount Size : 1150x580x120mm (45x22x5in) Wingspan : 1150 mm (45 in) Removable wings for transport PHOTO & VIDEO : Photo: 14Mpx wide angle camera Video: 1080p Full HD Video streaming: 360p / 720p Internal Memory: 32GB WI-FI AND TRANSMISSIONS : Range: Up to 2km with Parrot Skycontroller 2, in an unobstructed area free of interferences WiFi AC-type, 2 bi-band antennas (2,4 and 5GHz) HIGH CAPACITY BATTERY : Battery life : 30min with Parrot Sequoia 2700 mAh / 25A 3 cells Lipo Battery SENSORS : Airspeed sensor (Pitot tube) Built-in GPS + GLONASS Inertial Navigation System Altimeter Ultrasound Optical flow camera PARROT SEQUOIA RGB CAMERA : Resolution: 16 Mpx, 4608×3456 pixels HFOV: 63.9° VFOV: 50.1° DFOV: 73.5° 4 GLOBAL SHUTTER SINGLE-BAND CAMERAS : Resolution: 1.2 Mpx, 1280×960 pixels HFOV: 70.6° VFOV: 52.6° DFOV: 89.6° 4 SEPARATE BANDS : Green (550nm BP 40nm) Red (660nm BP 40nm) Red Edge (735nm BP 10nm) Near infrared (790nm BP 40nm) GENERAL CHARACTERISTICS : Dimensions: 59x41x 28mm (2.3×1.6×1.1in) Weight: 72 g (2.5 oz) Photo mode: Up to 1 fps Internal storage: 64 GB built-in storage Inertial measurement unit & magnetometer Power: 5 W (~12 W peak) SUNSHINE SENSOR (INCL. IN PARROT SEQUOIA) : Dimensions: 47×39.6×18.5mm (1.8×1.5×0.7in) Weight: 35 g (1.2 oz) 4 spectral sensors (same filters as body) GPS Inertial measurement unit & magnetometer SD Card slot Power: 1 W AIRINOV FIRST + Up to 150 ha / 370 acres processed per week Unlimited surface for the first processing AIRINOV reports includes: Absolute NDVI map: index value from -1 to 1 Adjusted NDVI map Simple zoning map: NDVI map divided in 3 zones Detailled zoning map: NDVI map devided in 7 zones",
DJI Spark Intelligent Flight Battery,DJI Spark Deals,R 895,"https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-Battery-2-600x384.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-Batt-1-600x387.jpg",16 min flight time 12 intelligent protection functions. Check flight time left in real-time.,,
World Cup Fever Sale Spark – Refurbished only 4 left,DJI Spark Deals,R 4995,"https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-Product-Image-600x386.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-yellow-600x385.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-in-the-Box-600x385.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-green-600x385.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-Bottom-600x385.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/05/Spark-Blue-600x385.jpg","Does not include a Remote Controller and is flown with a smart phone – you may purchase a remote controller separately. Spark is a mini drone that features all of DJI’s signature technologies, allowing you to seize the moment whenever you feel inspired.","Product Description Propeller guards are recommended when using these functions. Remote controller not included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 500 meters. The FCC compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment.",
Inspire 2 Brand New,Inspire Drones,R 60599,"https://www.droneworld.co.za/wp-content/uploads/2017/12/I2-Call-us-tile.png, https://www.droneworld.co.za/wp-content/uploads/2016/11/In-2-3-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/11/In-2-4-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/11/In-2-5-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/11/In2-1-600x400.png, https://www.droneworld.co.za/wp-content/uploads/2016/11/In2-2-600x400.jpg","*Camera not included. Sold separately. Please Click Here To Find Out More About Our Drone Insurance The Inspire 2 takes everything that was good about the Inspire 1 and improves it. An all-new image processing system records at up to 5.2K in CinemaDNG RAW, Apple ProRes and more. It goes from 0 to 50mph (80kph) in just 4 seconds and hits a maximum speed of 67mph (108kph) and has a max decent speed of 9m/s for unheard of speed and agility in an aircraft this size. A dual battery system prolongs the flight time to a maximum of 27 minutes (with an X4S), while self-heating technology allows it to fly even in low temperatures. FlightAutonomy has been revised and developed specifically for the Inspire 2, providing two directions of obstacle avoidance and sensor redundancy. Increased intelligence multiple intelligent flight modes, including Spotlight Pro, give even single pilots the ability to create complex, dramatic shots. An upgraded video transmission system is now capable of dual signal frequency and dual channel, streaming video from an onboard FPV camera and the main camera simultaneously, for better pilot and camera op collaboration.",Product Description,"Additional Information Combo or Accessory Drones Drone Name Inspire 2 Flight Time 27min Max Speed 30m/s Number of Batteries 2 Range 3.5km Status New Special Feature Active Track, Collision Avoidance, High Performance Solutions, Videography"
PHANTOM 4 PRO HIGH CAPACITY BATTERY,Phantom 4 Drones,R 3095,https://www.droneworld.co.za/wp-content/uploads/2017/01/medium_8c62f26f-c752-4a35-9f78-81496c078c72-600x400.jpg,,"Product Description Professional aerial imaging benefits from longer flight times. The Phantom 4 Pro has a maximum flight time of 30 minutes, providing more time in the air to capture the perfect shot. The DJI GO app shows battery lifetime and calculates remaining flight times according to distance traveled and more. It will give alerts when it reaches a minimum safe amount required for a safe journey back to the takeoff point. An advanced battery management system is also in place to prevent overcharging and over draining. When placed in longer term storage, batteries will discharge power to maintain good health.",
Parrot Bebop-Pro 3D Modeling,Parrot Products,R 18999,"https://www.droneworld.co.za/wp-content/uploads/2017/09/Bebop-3D-1-600x374.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Bebop-3D-2-600x374.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/09/Bebop-3D-5-600x374.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Bebop-3D-4-600x374.png, https://www.droneworld.co.za/wp-content/uploads/2017/09/Bebop-3D-3-600x374.png","The All-In-One Drone Solution for 3D Modeling Parrot Bebop-Pro 3D Modeling is the all-in-one drone solution for architects, building professionals and real estate agencies to easily create photorealistic 3D models, photos and videos of houses and buildings. This multi-purpose tool is a unique combination of the Parrot Bebop 2 and the Pix4Dmodel software solution allowing building professionals to easily and quickly assess the works to be done, draft new projects and promote their properties on the web.","Product Description TECHNICAL SPECIFICATIONS PARROT BEBOP 2 GENERAL : Photo: 14 mega-pixels wide angle Video: Full HD 1080p Stabilisation: 3-axis digital stabilisation Battery life: 25 minutes flying time (with 2700 mAh battery) GPS: Yes Storage: 8 GB flash storage system Weight: 500g Range: up to 2km with Parrot Skycontroller 2 in an interference free and unobstructed environment CAMERA : Sensor: CMOS 14 Mpx Optical: 180° fish-eye lens: 1/2.3″ aperture Video stabilizer: 3-axis digital system Video resolution: 1920 x 1080p (30fps) Photo resolution: 4096 x 3072 pixels Video encoding: H264 Photo format: JPEG, RAW, DNG Internal memory: 8 GB Flash CONNECTIVITY & PERFORMANCE : Wi-Fi 802.11a/b/g/n/ac Network: MIMO Dual band Wi-Fi Aerials: 2.4 and 5 GHz dual dipole aerials Max horizontal speed: 16 m/s Max upward speed: 6 m/s PARROT SKYCONTROLLER 2 WEIGHT : 500 g DIMENSIONS : 200 x 180 x 110 mm GENERAL FEATURES : 2 joysticks 8 shortcut buttons Li-Po battery: 2700 mAh Battery life: 240 minutes USB plug WiFi MIMO antennas PIX4DMODEL LICENCE 1 Year software license with desktop and cloud access Updates included Desktop and cloud access Technical assistance not included",
Zenmuse X5S,Inspire Drones,R 42495,https://www.droneworld.co.za/wp-content/uploads/2016/11/Zenmuse-f-600x400.jpg,5.2K video support for high-end professional filmmaking,Product Description,
Phantom 3 Additional Battery,Phantom 3 Deals,R 2895,"https://www.droneworld.co.za/wp-content/uploads/2015/04/P3-batt-front-1-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/04/p3-batt-side-1-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/04/P3-batt-top-1-600x500.jpg",,"Product Description Product Information Overview The DJI Smart Battery is a  lithium-polymer battery designed for the Phantom 3 series. It features four LEDs that display remaining battery capacity. Power management is handled internally meaning the battery doesn’t require a separate balance lead to control charging. Highlights Keep spare batteries on hand to extend your enjoyment of the quadcopter Capacity for up to 23 minutes of flying time Slot-in design means no leads to detangle or connect prior to use Four LEDs indicate remaining power and charge status Power management handled internally – no balance connector required to charge Charging The Battery Batteries must be charged using a DJI approved adapter.DJI takes no responsibility if the battery is charged using a non-DJI charger. Never leave the battery unattended during charging. Do not charge the battery near flammable materials or on flammable surfaces such as carpet or wood. Do not charge battery immediately after flight, because the battery temperature may be too high. Do not charge the battery until it cools down to near room temperature. Charging battery outside of the temperature range of 0℃-40℃ may lead to leakage, overheating, or battery damage. Charge and discharge the battery completely once every 20 charge/discharge cycles. Discharge the battery until there is less than 8% power or until it can no longer be turned on, then recharge it to the maximum capacity. This power cycling procedure will optimize the battery life. Battery Storage Dispose of the battery into specific recycling boxes only after a complete discharge. Do not place the battery into regular rubbish bins. Strictly follow your local disposal and recycling regulations of batteries. If the power on/off button of the smart battery is disabled and the battery cannot be fully discharged, please contact a professional battery disposal/recycling agent for further assistance.","Additional Information Special Feature Batteries, New, Spare Parts Combo or Accessory Accessories"
Matrice 600,Flying Platforms,R 85900,https://www.droneworld.co.za/wp-content/uploads/2016/05/M600-with-remote-600x416.jpg,Designed for filmmakers and industrial applications Multiple gimbals supported including the Ronin-MX A3 and Lightbridge 2 built-in Extended flight time and long range transmission Professional HD transmission Powerful app control SDK supported Upgradeable with A3 PRO and D-RTK GNSS,"Product Description MATRICE 600 SOMETIMES YOU NEED a cute little quadcopter to play with at a family picnic. Other times, you need a six-rotor pro-level monster drone that looks like it spends nights and weekends hunting for Sarah Connor. The Matrice 600 (M600) is DJI’s new flying platform designed for professional aerial photography and industrial applications. It is built to closely integrate with a host of powerful DJI technologies, including the A3 flight controller, Lightbridge 2 transmission system, Intelligent Batteries and Battery Management system, for maximum performance and quick setup. TOTAL INTEGRATION The modular design makes the M600 easy to set up and ready to use in just minutes. Its dust proof propulsion systems simplify maintenance while actively cooled motors make for reliable operation during extended periods of time. All Zenmuse cameras and gimbals are natively compatible, and a maximum payload of 6 kg allows it to fly the Ronin-MX gimbal and a range of cameras from Micro Four Thirds systems to the RED Epic. SMART FLIGHT SAFETY The M600 uses sine-wave driven, intelligent ESCs to ensure it performs accurately, safely and efficiently while A3’s self-adaptive flight systems adjust flight parameters automatically based on different payloads. The A3 can be upgraded with two additional GNSS and IMU units to A3 Pro or with D-RTK GNSS for enhanced accuracy.* *A3 Pro and D-RTK GNSS are sold separately. EXTENDED FLIGHT TIME AND TRANSMISSION RANGE The M600 features an extended flight time and a 5 km* long-range, ultra-low latency HD image transmission for accurate image composition and capture. By using 6 small DJI Intelligent Batteries, allowing it to easily be shipped to wherever it is needed.  A customized battery management system and power distribution board allows all six batteries to be turned on with one button press, and keeps the system in flight in the event of a failure of a single battery, and allows users to check the battery status in real-time during flight.","Additional Information Drone Name Matrice 600 Combo or Accessory Drones Flight Time 40min Max Speed 18m/s Number of Batteries 6 Range 3km Status New Special Feature High Performance Solutions, Multiple Gimbals Supported, Videography"
